model,prompt,review_index,response_length,key_phrase_count,similarity_score,meets_threshold,score
gemma2:27b,Turn the following review into a concise user story: {review},25,75,2,,True,30.8
gemma2:27b,Turn the following review into a concise user story: {review},26,38,2,,True,16.0
gemma2:27b,Turn the following review into a concise user story: {review},27,87,2,,True,35.6
gemma2:27b,Turn the following review into a concise user story: {review},28,85,3,,True,35.2
gemma2:27b,Turn the following review into a concise user story: {review},29,79,3,,True,32.800000000000004
gemma2:27b,Turn the following review into a concise user story: {review},30,42,2,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},31,33,3,,True,14.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},32,85,2,,True,34.8
gemma2:27b,Turn the following review into a concise user story: {review},33,99,2,,True,40.4
gemma2:27b,Turn the following review into a concise user story: {review},34,122,3,,True,50.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},35,38,3,,True,16.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},36,103,2,,True,42.0
gemma2:27b,Turn the following review into a concise user story: {review},37,132,3,,True,54.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},38,34,3,,True,14.8
gemma2:27b,Turn the following review into a concise user story: {review},39,63,1,,False,25.6
gemma2:27b,Turn the following review into a concise user story: {review},40,34,3,,True,14.8
gemma2:27b,Turn the following review into a concise user story: {review},41,37,3,,True,16.0
gemma2:27b,Turn the following review into a concise user story: {review},42,58,3,,True,24.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},43,52,3,,True,22.0
gemma2:27b,Turn the following review into a concise user story: {review},44,116,3,,True,47.60000000000001
gemma2:27b,Turn the following review into a concise user story: {review},45,106,3,,True,43.60000000000001
gemma2:27b,Turn the following review into a concise user story: {review},46,74,3,,True,30.8
gemma2:27b,Turn the following review into a concise user story: {review},47,72,2,,True,29.6
gemma2:27b,Turn the following review into a concise user story: {review},48,36,3,,True,15.600000000000001
gemma2:27b,Turn the following review into a concise user story: {review},49,98,3,,True,40.400000000000006
gemma2:27b,Turn the following review into a concise user story: {review},50,35,3,,True,15.2
gemma2:27b,Turn the following review into a concise user story: {review},51,44,3,,True,18.8
gemma2:27b,Turn the following review into a concise user story: {review},52,92,3,,True,38.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},53,79,2,,True,32.4
gemma2:27b,Turn the following review into a concise user story: {review},54,83,2,,True,34.0
gemma2:27b,Turn the following review into a concise user story: {review},55,85,3,,True,35.2
gemma2:27b,Turn the following review into a concise user story: {review},56,59,2,,True,24.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},57,60,1,,False,24.4
gemma2:27b,Turn the following review into a concise user story: {review},58,79,3,,True,32.800000000000004
gemma2:27b,Turn the following review into a concise user story: {review},59,54,1,,False,22.0
gemma2:27b,Turn the following review into a concise user story: {review},60,42,2,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},61,40,3,,True,17.2
gemma2:27b,Turn the following review into a concise user story: {review},62,58,3,,True,24.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},63,61,2,,True,25.200000000000003
gemma2:27b,Turn the following review into a concise user story: {review},64,32,2,,True,13.600000000000001
gemma2:27b,Turn the following review into a concise user story: {review},65,51,2,,True,21.200000000000003
gemma2:27b,Turn the following review into a concise user story: {review},66,42,3,,True,18.0
gemma2:27b,Turn the following review into a concise user story: {review},67,73,3,,True,30.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},68,41,3,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},69,73,2,,True,30.000000000000004
gemma2:27b,Turn the following review into a concise user story: {review},70,58,3,,True,24.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},71,82,3,,True,34.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},72,35,2,,True,14.8
gemma2:27b,Turn the following review into a concise user story: {review},73,46,3,,True,19.6
gemma2:27b,Turn the following review into a concise user story: {review},74,57,3,,True,24.0
gemma2:27b,Turn the following review into a concise user story: {review},75,28,3,,True,12.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},76,78,3,,True,32.400000000000006
gemma2:27b,Turn the following review into a concise user story: {review},77,51,3,,True,21.6
gemma2:27b,Turn the following review into a concise user story: {review},78,71,3,,True,29.6
gemma2:27b,Turn the following review into a concise user story: {review},79,77,2,,True,31.6
gemma2:27b,Turn the following review into a concise user story: {review},80,57,2,,True,23.6
gemma2:27b,Turn the following review into a concise user story: {review},81,36,3,,True,15.600000000000001
gemma2:27b,Turn the following review into a concise user story: {review},82,81,3,,True,33.6
gemma2:27b,Turn the following review into a concise user story: {review},83,68,2,,True,28.000000000000004
gemma2:27b,Turn the following review into a concise user story: {review},84,37,1,,False,15.200000000000001
gemma2:27b,Turn the following review into a concise user story: {review},85,73,3,,True,30.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},86,56,3,,True,23.6
gemma2:27b,Turn the following review into a concise user story: {review},87,64,3,,True,26.8
gemma2:27b,Turn the following review into a concise user story: {review},88,90,2,,True,36.8
gemma2:27b,Turn the following review into a concise user story: {review},89,76,3,,True,31.6
gemma2:27b,Turn the following review into a concise user story: {review},90,37,2,,True,15.600000000000001
gemma2:27b,Turn the following review into a concise user story: {review},91,81,2,,True,33.199999999999996
gemma2:27b,Turn the following review into a concise user story: {review},92,47,2,,True,19.6
gemma2:27b,Turn the following review into a concise user story: {review},93,61,3,,True,25.6
gemma2:27b,Turn the following review into a concise user story: {review},94,99,2,,True,40.4
gemma2:27b,Turn the following review into a concise user story: {review},95,102,3,,True,42.00000000000001
gemma2:27b,Turn the following review into a concise user story: {review},96,73,3,,True,30.400000000000002
gemma2:27b,Turn the following review into a concise user story: {review},97,52,3,,True,22.0
gemma2:27b,Turn the following review into a concise user story: {review},98,41,3,,True,17.6
gemma2:27b,Turn the following review into a concise user story: {review},99,55,3,,True,23.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",0,54,3,,True,22.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",1,56,3,,True,23.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",2,75,3,,True,31.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",3,38,3,,True,16.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",4,52,3,,True,22.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",5,49,3,,True,20.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",6,71,3,,True,29.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",7,30,3,,True,13.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",8,53,3,,True,22.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",9,62,3,,True,26.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",10,96,3,,True,39.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",11,95,3,,True,39.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",12,100,3,,True,41.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",13,127,3,,True,52.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",14,57,3,,True,24.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",15,65,3,,True,27.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",16,60,3,,True,25.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",17,111,3,,True,45.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",18,77,3,,True,32.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",19,42,3,,True,18.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",20,82,3,,True,34.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",21,47,3,,True,20.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",22,28,3,,True,12.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",23,29,3,,True,12.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",24,104,3,,True,42.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",25,108,3,,True,44.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",26,51,3,,True,21.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",27,142,3,,True,58.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",28,87,3,,True,36.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",29,62,3,,True,26.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",30,88,3,,True,36.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",31,46,3,,True,19.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",32,126,3,,True,51.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",33,97,3,,True,40.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",34,259,3,,True,104.80000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",35,40,3,,True,17.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",36,71,3,,True,29.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",37,86,3,,True,35.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",38,121,3,,True,49.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",39,124,3,,True,50.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",40,60,3,,True,25.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",41,57,3,,True,24.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",42,66,3,,True,27.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",43,143,3,,True,58.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",44,43,3,,True,18.4
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",45,47,3,,True,20.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",46,137,3,,True,56.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",47,46,3,,True,19.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",48,105,3,,True,43.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",49,52,3,,True,22.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",50,123,3,,True,50.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",51,32,3,,True,14.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",52,84,3,,True,34.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",53,88,3,,True,36.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",54,54,3,,True,22.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",55,40,3,,True,17.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",56,52,2,,True,21.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",57,37,3,,True,16.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",58,48,3,,True,20.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",59,53,3,,True,22.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",60,36,3,,True,15.600000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",61,136,3,,True,55.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",62,62,3,,True,26.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",63,63,3,,True,26.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",64,32,3,,True,14.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",65,118,3,,True,48.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",66,89,3,,True,36.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",67,146,3,,True,59.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",68,94,3,,True,38.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",69,87,3,,True,36.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",70,60,3,,True,25.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",71,52,3,,True,22.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",72,89,3,,True,36.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",73,48,3,,True,20.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",74,97,3,,True,40.00000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",75,37,3,,True,16.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",76,99,3,,True,40.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",77,51,3,,True,21.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",78,45,3,,True,19.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",79,81,3,,True,33.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",80,64,3,,True,26.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",81,47,3,,True,20.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",82,119,3,,True,48.800000000000004
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",83,90,3,,True,37.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",84,46,3,,True,19.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",85,64,3,,True,26.8
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",86,52,3,,True,22.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",87,86,3,,True,35.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",88,68,3,,True,28.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",89,131,3,,True,53.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",90,67,3,,True,28.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",91,67,3,,True,28.0
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",92,56,3,,True,23.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",93,76,3,,True,31.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",94,50,3,,True,21.2
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",95,136,3,,True,55.60000000000001
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",96,48,3,,True,20.400000000000002
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",97,78,3,,True,32.400000000000006
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",98,51,3,,True,21.6
gemma2:27b,"Based on the review below, create a user story in the format: As a [User Role], I want [Goal] so that [Benefit]: {review}",99,53,3,,True,22.400000000000002
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},0,143,2,,True,58.0
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},1,108,3,,True,44.400000000000006
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},2,117,2,,True,47.6
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},3,59,3,,True,24.8
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},4,133,2,,True,54.0
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},5,86,2,,True,35.199999999999996
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},6,157,3,,True,64.0
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},7,79,3,,True,32.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},8,97,2,,True,39.6
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},9,96,3,,True,39.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},10,114,2,,True,46.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},11,134,3,,True,54.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},12,175,3,,True,71.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},13,112,3,,True,46.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},14,133,3,,True,54.400000000000006
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},15,130,3,,True,53.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},16,80,3,,True,33.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},17,117,3,,True,48.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},18,126,3,,True,51.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},19,82,3,,True,34.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},20,170,3,,True,69.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},21,159,3,,True,64.8
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},22,98,3,,True,40.400000000000006
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},23,129,2,,True,52.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},24,116,3,,True,47.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},25,164,3,,True,66.80000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},26,81,2,,True,33.199999999999996
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},27,133,2,,True,54.0
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},28,112,3,,True,46.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},29,95,3,,True,39.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},30,127,3,,True,52.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},31,81,3,,True,33.6
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},32,179,2,,True,72.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},33,129,2,,True,52.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},34,146,2,,True,59.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},35,97,3,,True,40.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},36,163,3,,True,66.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},37,158,3,,True,64.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},38,136,2,,True,55.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},39,158,3,,True,64.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},40,94,3,,True,38.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},41,96,3,,True,39.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},42,89,3,,True,36.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},43,90,2,,True,36.8
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},44,129,3,,True,52.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},45,109,3,,True,44.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},46,152,3,,True,62.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},47,150,3,,True,61.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},48,119,3,,True,48.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},49,111,3,,True,45.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},50,174,3,,True,70.80000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},51,51,3,,True,21.6
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},52,160,3,,True,65.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},53,132,3,,True,54.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},54,100,2,,True,40.8
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},55,131,3,,True,53.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},56,153,3,,True,62.400000000000006
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},57,94,2,,True,38.4
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},58,87,3,,True,36.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},59,102,3,,True,42.00000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},60,76,3,,True,31.6
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},61,139,3,,True,56.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},62,93,3,,True,38.400000000000006
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},63,136,2,,True,55.2
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},64,171,3,,True,69.60000000000001
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},65,129,3,,True,52.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},66,124,3,,True,50.800000000000004
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},67,74,2,,True,30.400000000000002
gemma2:27b,Generate a user story that summarizes the key features or improvements requested in this review: {review},68,99,3,,True,40.800000000000004
